Store Number,Store Name,County Number
2413,Beecher Beverage,31
3655,M and M Liquor Store,97
2626,Hy-Vee Drugstore / University / DSM,77
4154,Fareway Stores #055 / Hiawatha,57
4658,Casey's General Store #3027 / Iowa F,42
4209,Wal-Mart 5748 / Grimes,77
3769,Wal-Mart 0753 / Cedar Fall,7
4566,Kum & Go #508 / Cedar Rapids,57
3677,Barb's Service,21
4315,Fareway Stores #554 / Washington,92
3477,Sam's Club 6472 / Council Bluffs,78
4851,Southside Liquor & Tobacco Outlet /,57
2445,Ruback's Food Center,78
4328,Jr's On The Rocks,96
3437,Scott's Foods,91
4102,Fareway Stores #386 / Ames,85
4945,Osage Liquors,66
4794,Smokin' Joe's #17 Tobacco and Liquor,29
5017,Lansing IGA,3
3744,Payless Foods / Dyersville,31
4677,Costco Wholesale #1111 / Coralville,52
4598,Quik Trip #501 / E Euclid DM,77
4668,Clear Lake Payless Foods,17
4757,EZ Mart / Bondurant,77
4770,Casey's General Store #3080 / Hudson,7
9002,Mississippi River Distillery,82
3980,Wal-Mart 1721 / Iowa City,52
4062,H and A Mini Mart Corp,77
4973,Quillins Quality Foods West Union,33
4347,Jeff's Market / Blue Grass,82
2836,CVS Pharmacy #8546 / Waterloo,7
4081,Harlan's Food Mart,85
4160,Fareway Stores #034 / Iowa City,52
4667,Kum & Go #56 / Bevington,61
4146,Fareway Stores #561 / Waverly,9
4144,"Liquor, Beer and Tobacco Outlet",34
4272,Fareway Stores #407 / Esterville,32
4743,No Frills Supermarkets #791 / Counci,78
4377,Quik Trip #562 / NE 14th / DSM,77
3713,Wal-Mart 0810 / Mason City,17
3688,Fredericksburg Food Center,19
3385,Sam's Club 8162 / Cedar Rapids,57
3830,Wal-Mart 1435 / Creston,88
2611,Hy-Vee Drugstore / Ottumwa,90
4769,Elma Locker and Grocery,45
4564,JEFF'S MARKET / DURANT,16
4392,KUM & GO #156 / CLIVE,77
2612,Hy-Vee Store / Perry,25
3731,Wal-Mart 1241 / Davenport,82
3785,Southside Tobacco and Liquor,77
4267,Main Street Market Of Anita,15
4931,Hudson Gas Mart,7
4426,LIQUOR AND GROCERY DEPOT,64
4713,Walgreens #10985 / Coralville,52
5054,Cork 'N Bottle / Manchester,28
3465,Hometown Foods / Panora,39
4230,Fareway Stores #106 / Clive,77
4252,Fareway Stores #840 / Monticello,53
3482,Kick The Can,14
4284,Fareway Stores #559 / Iowa Falls,42
2523,Hy-Vee Food Store / Centerville,4
4083,Fareway Stores #909 / Ankeny,77
4947,The Music Station,7
3811,Wal-Mart 1431 / Keokuk,56
3907,Smokin' Joe's #16 Tobacco and Liquor,70
4334,Fareway Stores #114 / Dubuque,31
4075,Ali's West Side Liquor,7
3488,Bender's Foods,49
4802,Walgreens #07452 / Des Moines,77
2585,Hy-Vee Wine and Spirits / Algona,55
4307,Crossroads Wine and Liquor,43
4442,A-TOWN LIQUOR STORE,84
4374,Kum & Go #141 / Grimes,77
4608,Casey's General Store #3050 / Counci,78
2588,Hy-Vee Food and Drug #6 / Cedar Rapi,57
5022,Kum & Go #97 / West Des Moines,77
3776,Wal-Mart 5115 / Davenport,82
3920,Smokin' Joe's #11 Tobacco and Liquor,23
4296,Circle B Market,89
4984,Fast Ave One Stop,70
4866,Tobacco Hut #18 / Council Bluffs,78
4630,EZ Stop / Davenport,82
4920,Kum & Go #129 / Johnston,77
